fecha,look,pose,motivo,intento,nota,evidencia
2026-07-15T14:30:58Z,796,Standing,otro,1,"cortes en el vestido para mostrar los tatuajes de la pelvis ",99_Sistema/descartes/L796_Standing_i1_otro.jpg
2026-07-15T14:33:56Z,796,Seated,anatomía (manos/piernas),1,"",99_Sistema/descartes/L796_Seated_i1_anatomía_(manos/piernas).jpg
2026-07-15T14:37:54Z,796,Ditzy,marcas sobre la tela,1,"belly pearcing visible
",99_Sistema/descartes/L796_Ditzy_i1_marcas_sobre_la_tela.jpg
2026-07-15T14:41:03Z,796,Ditzy,collage/grilla,2,"",99_Sistema/descartes/L796_Ditzy_i2_collage/grilla.jpg
2026-07-15T14:55:02Z,796,Odalisque,anatomía (manos/piernas),1,"",99_Sistema/descartes/L796_Odalisque_i1_anatomía_(manos/piernas).jpg
2026-07-15T15:20:46Z,800,Ditzy,outfit mutado,1,"colage",99_Sistema/descartes/L800_Ditzy_i1_outfit_mutado.jpg
2026-07-15T15:21:35Z,800,Ditzy,otro,2,"ombligo visible, y runas pélvicas visibles en la tela",99_Sistema/descartes/L800_Ditzy_i2_otro.jpg
2026-07-15T15:25:09Z,800,POV,otro,1,"ombligo visible, runas sobre la tela",99_Sistema/descartes/L800_POV_i1_otro.jpg
2026-07-15T18:07:10Z,793,Odalisque,anatomía (manos/piernas),1,"",99_Sistema/descartes/L793_Odalisque_i1_anatomía_(manos/piernas).jpg
2026-07-15T18:25:36Z,776,Ditzy,outfit mutado,1,"",99_Sistema/descartes/L776_Ditzy_i1_outfit_mutado.jpg
2026-07-15T18:26:46Z,776,Ditzy,outfit mutado,2,"vestido cortado para mostrar tatuajes ",99_Sistema/descartes/L776_Ditzy_i2_outfit_mutado.jpg
2026-07-16T11:58:54Z,352,Ditzy,collage/grilla,1,"",99_Sistema/descartes/L352_Ditzy_i1_collage/grilla.jpg
2026-07-19T15:14:45Z,303,Seated,anatomía (manos/piernas),1,"",99_Sistema/descartes/L303_Seated_i1_anatomía_(manos/piernas).jpg
2026-07-19T15:30:24Z,305,Back View,anatomía (manos/piernas),1,"",99_Sistema/descartes/L305_Back View_i1_anatomía_(manos/piernas).jpg
2026-07-19T17:18:45Z,307,Back View,marcas sobre la tela,1,"",99_Sistema/descartes/L307_Back View_i1_marcas_sobre_la_tela.jpg
2026-07-19T19:11:35Z,309,Ditzy,outfit mutado,1,"",99_Sistema/descartes/L309_Ditzy_i1_outfit_mutado.jpg
2026-07-20T18:34:51Z,89,Ditzy,anatomía (manos/piernas),1,"",99_Sistema/descartes/L89_Ditzy_i1_anatomía_(manos/piernas).jpg
2026-07-21T15:53:49Z,108,Standing,costura al frente,1,"",99_Sistema/descartes/L108_Standing_i1_costura_al_frente.jpg
2026-07-21T16:48:36Z,104,Standing,costura al frente,1,"",99_Sistema/descartes/L104_Standing_i1_costura_al_frente.jpg
2026-07-21T19:18:00Z,103,Back View,anatomía (manos/piernas),1,"todo mal acá ",99_Sistema/descartes/L103_Back View_i1_anatomía_(manos/piernas).jpg
2026-07-21T23:03:24Z,102,Standing,costura al frente,1,"",99_Sistema/descartes/L102_Standing_i1_costura_al_frente.jpg
